"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"47" 168 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "nfix" 0
"48" 170 0 "Gardner Pinnacles" "Island" -168.95998 25.000016 0.027257 1 1 1 3341.02 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 12.3 1 0 NA NA 0 NA NA NA 0 "nfix" 0
"49" 171 16 "Hawai'i Island" "Island" -155.518375 19.598084 10457.216211 1 1 1 3674.689 "PACIFIC" "Tropical & Subtropical Dry Broadleaf Forests" "dev" 0.53 391 911 17.5401 1797.42522 0.69612 19.65972 22.09242 14.46853 4119 "nfix" 2
"50" 172 15 "Kaua'i Island" "Island" -159.524241 22.058363 1442.951503 1 1 1 3629.559 "PACIFIC" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 5.77 494 694 22.0324 2184.22992 2.2161 49.80694 39.19787 25.33626 1485 "nfix" 2
"51" 173 5 "Kaho'olawe Island" "Island" -156.609341 20.547612 116.658525 1 1 1 3736.853 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 1.25 62 165 23.78099 547.9507 2e-05 0 NA 13.78333 432 "nfix" 1
"52" 174 0 "Ka'ula Island" "Island" -160.541487 21.654144 0.747766 1 1 1 3744.841 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 4.1 17 12 24.6 1424.5 0 0 NA 0 0 "nfix" 0
"53" 175 0 "Kure Atoll (incl. Sand and Green Islands)" "Island" -178.293975 28.392821 0.852211 1 1 1 3170.37 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 25 21 41 22.3 1086 0 0 NA NA 0 "nfix" 0
"54" 176 12 "Lana'i Island" "Island" -156.927066 20.834995 366.604164 1 1 1 3740.263 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 1.5 257 392 22.90217 696.42609 0.74893 9.26638 33.79854 21.76399 964 "nfix" 0
"55" 177 0 "Laysan Island" "Island" -171.734888 25.768689 2.920949 1 1 1 3295.189 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 19.9 31 14 23.4 1066.88889 0 0 NA NA 0 "nfix" 0
"56" 178 1 "Lehua Island" "Island" -160.095765 22.0201 1.282188 1 1 1 3647.799 "PACIFIC" "Tropical & Subtropical Grasslands, Savannas & Shrublands" "dev" 5.5 25 38 24.35 1163.75 0 0 NA 9 69 "nfix" 0
